,date,pm2.5,pm10,o3,no2
111,2021-07-01,42.0,21.0,28.0,8.0
112,2021-07-02,53.0,13.0,23.0,5.0
113,2021-07-03,29.0,10.0,19.0,3.0
114,2021-07-04,14.0,14.0,22.0,3.0
115,2021-07-05,20.0,13.0,18.0,4.0
116,2021-07-06,23.0,16.0,20.0,3.0
117,2021-07-07,29.0,15.0,20.0,4.0
118,2021-07-08,29.0,17.0,23.0,6.0
119,2021-07-09,37.0,12.0,16.0,10.0
120,2021-07-10,33.0,13.0,23.0,6.0
121,2021-07-11,31.0,10.0,13.0,10.0
122,2021-07-12,25.0,15.0,20.0,9.0
123,2021-07-15,30.0,18.0,19.0,7.0
124,2021-07-16,36.0,13.0,21.0,6.0
125,2021-07-17,29.0,14.0,33.0,11.0
126,2021-07-18,43.0,20.0,34.0,11.0
127,2021-07-19,47.0,24.0,35.0,13.0
128,2021-07-20,57.0,33.0,41.0,11.0
129,2021-07-21,71.0,35.0,32.0,10.0
130,2021-07-22,74.0,19.0,24.0,5.0
131,2021-07-23,35.0,29.0,27.0,6.0
132,2021-07-24,60.0,26.0,18.0,8.0
133,2021-07-25,60.0,27.0,31.0,7.0
134,2021-07-26,58.0,15.0,27.0,4.0
135,2021-07-27,32.0,15.0,19.0,4.0
136,2021-07-28,37.0,23.0,18.0,4.0
137,2021-07-29,38.0,13.0,17.0,7.0
138,2021-07-30,33.0,11.0,20.0,8.0
139,2021-07-31,23.0,14.0,18.0,6.0
140,2021-08-01,29.0,14.0,21.0,5.0
141,2021-08-02,25.0,15.0,28.0,7.0
142,2021-08-03,38.0,17.0,32.0,9.0
143,2021-08-04,41.0,15.0,25.0,6.0
144,2021-08-05,35.0,15.0,19.0,3.0
145,2021-08-06,26.0,12.0,21.0,4.0
146,2021-08-07,24.0,15.0,22.0,2.0
147,2021-08-08,25.0,13.0,16.0,4.0
148,2021-08-09,22.0,15.0,22.0,4.0
149,2021-08-10,31.0,13.0,24.0,4.0
150,2021-08-11,30.0,12.0,15.0,4.0
151,2021-08-12,26.0,20.0,18.0,4.0
152,2021-08-13,38.0,17.0,23.0,3.0
153,2021-08-14,32.0,13.0,25.0,3.0
154,2021-08-15,27.0,20.0,18.0,10.0
155,2021-08-16,43.0,13.0,13.0,13.0
156,2021-08-17,31.0,12.0,19.0,8.0
157,2021-08-18,24.0,14.0,21.0,5.0
158,2021-08-19,31.0,13.0,17.0,6.0
159,2021-08-20,23.0,14.0,16.0,7.0
160,2021-08-21,30.0,12.0,15.0,9.0
161,2021-08-22,31.0,17.0,19.0,7.0
162,2021-08-23,33.0,18.0,25.0,7.0
163,2021-08-24,33.0,13.0,20.0,7.0
164,2021-08-25,23.0,16.0,25.0,6.0
165,2021-08-26,36.0,18.0,19.0,8.0
166,2021-08-27,31.0,18.0,18.0,6.0
167,2021-08-28,37.0,15.0,21.0,7.0
168,2021-08-29,32.0,14.0,21.0,5.0
169,2021-08-30,23.0,15.0,23.0,7.0
170,2021-08-31,30.0,23.0,18.0,7.0
171,2021-09-01,29.0,22.0,23.0,7.0
172,2021-09-02,41.0,30.0,30.0,8.0
173,2021-09-03,53.0,29.0,29.0,7.0
