date, pm25
2020/12/15, 24
2020/12/16, 19
2020/12/17, 21
2020/12/18, 19
2020/7/1, 32
2020/7/2, 31
2020/7/3, 38
2020/7/4, 36
2020/7/5, 34
2020/7/6, 36
2020/7/7, 37
2020/7/8, 39
2020/7/9, 38
2020/7/10, 31
2020/7/11, 37
2020/7/12, 48
2020/7/13, 45
2020/7/14, 37
2020/7/15, 36
2020/7/16, 35
2020/7/17, 46
2020/7/18, 38
2020/7/19, 31
2020/7/20, 36
2020/7/21, 36
2020/7/22, 47
2020/7/23, 42
2020/7/24, 36
2020/7/25, 33
2020/7/26, 42
2020/7/27, 42
2020/7/28, 32
2020/7/29, 40
2020/7/30, 44
2020/7/31, 58
2020/8/1, 37
2020/8/2, 30
2020/8/3, 31
2020/8/4, 36
2020/8/5, 30
2020/8/6, 36
2020/8/10, 79
2020/8/11, 95
2020/8/12, 112
2020/8/13, 82
2020/8/14, 52
2020/8/15, 64
2020/8/16, 82
2020/8/17, 49
2020/8/18, 42
2020/8/19, 56
2020/8/20, 48
2020/8/21, 52
2020/8/22, 40
2020/8/23, 39
2020/8/24, 42
2020/8/25, 42
2020/8/26, 40
2020/8/27, 47
2020/8/28, 38
2020/8/29, 35
2020/8/30, 37
2020/8/31, 30
2020/9/1, 56
2020/9/2, 49
2020/9/3, 46
2020/9/4, 43
2020/9/5, 41
2020/9/6, 42
2020/9/7, 44
2020/9/8, 42
2020/9/9, 38
2020/9/10, 46
2020/9/11, 49
2020/9/12, 42
2020/9/13, 44
2020/9/14, 62
2020/9/15, 95
2020/9/16, 74
2020/9/17, 39
2020/9/18, 45
2020/9/19, 47
2020/9/20, 51
2020/9/21, 58
2020/9/22, 50
2020/9/23, 46
2020/9/24, 29
2020/9/25, 37
2020/9/26, 36
2020/9/27, 37
2020/9/28, 49
2020/9/29, 55
2020/9/30, 49
2020/4/1, 41
2020/4/2, 29
2020/4/3, 36
2020/4/4, 49
2020/4/5, 48
2020/4/6, 39
2020/4/7, 52
2020/4/8, 99
2020/4/9, 110
2020/4/10, 88
2020/4/11, 75
2020/4/12, 66
2020/4/13, 40
2020/4/14, 37
2020/4/15, 62
2020/4/16, 104
2020/4/17, 44
2020/4/18, 54
2020/4/19, 52
2020/4/20, 51
2020/4/21, 50
2020/4/22, 57
2020/4/23, 71
2020/4/24, 69
2020/4/25, 55
2020/4/26, 56
2020/4/27, 63
2020/4/28, 39
2020/4/29, 40
2020/4/30, 32
2020/5/1, 36
2020/5/2, 29
2020/5/3, 45
2020/5/4, 51
2020/5/5, 32
2020/5/6, 51
2020/5/7, 61
2020/5/8, 59
2020/5/9, 79
2020/5/10, 55
2020/5/11, 30
2020/5/12, 34
2020/5/13, 32
2020/5/14, 27
2020/5/15, 50
2020/5/16, 36
2020/5/17, 45
2020/5/18, 47
2020/5/19, 43
2020/5/20, 46
2020/5/21, 51
2020/5/22, 54
2020/5/23, 45
2020/5/24, 65
2020/5/25, 61
2020/5/26, 51
2020/5/27, 48
2020/5/28, 35
2020/5/29, 47
2020/5/30, 46
2020/5/31, 40
2020/6/1, 39
2020/6/2, 46
2020/6/3, 50
2020/6/4, 29
2020/6/5, 26
2020/6/6, 28
2020/6/7, 35
2020/6/8, 36
2020/6/9, 38
2020/6/10, 52
2020/6/11, 57
2020/6/12, 64
2020/6/13, 43
2020/6/14, 50
2020/6/15, 38
2020/6/16, 42
2020/6/17, 47
2020/6/18, 46
2020/6/19, 47
2020/6/20, 37
2020/6/21, 36
2020/6/22, 30
2020/6/29, 35
2020/6/30, 27
2020/1/1, 98
2020/1/2, 48
2020/1/3, 36
2020/1/4, 40
2020/1/5, 26
2020/1/6, 43
2020/1/7, 42
2020/1/8, 47
2020/1/9, 37
2020/1/10, 39
2020/1/11, 31
2020/1/12, 26
2020/1/13, 37
2020/1/14, 40
2020/1/15, 38
2020/1/16, 41
2020/1/17, 35
2020/1/18, 39
2020/1/19, 43
2020/1/20, 80
2020/1/21, 86
2020/1/22, 80
2020/1/23, 61
2020/1/24, 58
2020/1/25, 73
2020/1/26, 57
2020/1/27, 32
2020/1/28, 28
2020/1/29, 36
2020/1/30, 36
2020/1/31, 28
2020/2/1, 45
2020/2/2, 43
2020/2/3, 45
2020/2/4, 35
2020/2/5, 60
2020/2/6, 71
2020/2/7, 79
2020/2/8, 43
2020/2/9, 30
2020/2/10, 31
2020/2/11, 31
2020/2/12, 28
2020/2/13, 34
2020/2/14, 44
2020/2/15, 25
2020/2/16, 19
2020/2/17, 38
2020/2/18, 29
2020/2/20, 32
2020/2/21, 38
2020/2/22, 46
2020/2/23, 20
2020/2/24, 23
2020/2/25, 23
2020/2/26, 27
2020/2/27, 27
2020/2/28, 33
2020/2/29, 36
2020/3/1, 27
2020/3/2, 31
2020/3/3, 47
2020/3/4, 44
2020/3/5, 57
2020/3/6, 51
2020/3/7, 56
2020/3/8, 39
2020/3/9, 36
2020/3/10, 31
2020/3/11, 33
2020/3/12, 34
2020/3/13, 42
2020/3/14, 33
2020/3/15, 30
2020/3/16, 46
2020/3/17, 43
2020/3/18, 44
2020/3/19, 56
2020/3/20, 33
2020/3/21, 35
2020/3/22, 48
2020/3/23, 50
2020/3/24, 56
2020/3/25, 79
2020/3/26, 91
2020/3/27, 82
2020/3/28, 50
2020/3/29, 28
2020/3/30, 28
2020/3/31, 37
2019/10/1, 37
2019/10/2, 25
2019/10/3, 50
2019/10/4, 50
2019/10/5, 46
2019/10/6, 35
2019/10/7, 37
2019/10/8, 42
2019/10/9, 34
2019/10/10, 36
2019/10/11, 37
2019/10/12, 38
2019/10/13, 43
2019/10/14, 37
2019/10/15, 44
2019/10/16, 44
2019/10/17, 45
2019/10/18, 42
2019/10/19, 41
2019/10/20, 46
2019/10/21, 34
2019/10/22, 56
2019/10/23, 72
2019/10/24, 72
2019/10/25, 43
2019/10/26, 44
2019/10/27, 38
2019/10/28, 48
2019/10/29, 33
2019/10/30, 55
2019/10/31, 84
2019/11/1, 57
2019/11/2, 37
2019/11/3, 45
2019/11/4, 50
2019/11/5, 54
2019/11/6, 66
2019/11/7, 43
2019/11/8, 54
2019/11/9, 54
2019/11/10, 53
2019/11/11, 44
2019/11/12, 40
2019/11/13, 49
2019/11/14, 41
2019/11/15, 55
2019/11/16, 61
2019/11/17, 80
2019/11/18, 31
2019/11/19, 73
2019/11/20, 48
2019/11/21, 79
2019/11/22, 42
2019/11/23, 59
2019/11/24, 62
2019/11/25, 45
2019/11/26, 45
2019/11/27, 50
2019/11/28, 50
2019/11/29, 53
2019/11/30, 64
2019/12/1, 40
2019/12/2, 63
2019/12/3, 59
2019/12/4, 78
2019/12/5, 66
2019/12/6, 40
2019/12/7, 37
2019/12/8, 32
2019/12/9, 40
2019/12/10, 43
2019/12/11, 43
2019/12/12, 42
2019/12/13, 38
2019/12/14, 43
2019/12/15, 31
2019/12/18, 45
2019/12/19, 50
2019/12/20, 29
2019/12/21, 32
2019/12/22, 38
2019/12/23, 42
2019/12/24, 44
2019/12/25, 39
2019/12/26, 36
2019/12/27, 55
2019/12/28, 65
2019/12/29, 60
2019/7/1, 35
2019/7/2, 41
2019/7/3, 48
2019/7/4, 46
2019/7/5, 56
2019/7/6, 37
2019/7/7, 46
2019/7/8, 45
2019/7/9, 54
2019/7/10, 58
2019/7/11, 48
2019/7/12, 39
2019/7/13, 43
2019/7/14, 38
2019/7/15, 36
2019/7/16, 53
2019/7/17, 57
2019/7/18, 54
2019/7/19, 45
2019/7/20, 50
2019/7/21, 36
2019/7/22, 52
2019/7/23, 60
2019/7/24, 71
2019/7/25, 65
2019/7/26, 50
2019/7/27, 43
2019/7/28, 38
2019/7/29, 45
2019/7/30, 56
2019/7/31, 39
2019/8/1, 45
2019/8/2, 52
2019/8/3, 42
2019/8/4, 49
2019/8/5, 44
2019/8/6, 43
2019/8/7, 36
2019/8/8, 33
2019/8/9, 48
2019/8/10, 51
2019/8/11, 40
2019/8/12, 37
2019/8/13, 34
2019/8/14, 40
2019/8/15, 36
2019/8/16, 43
2019/8/17, 42
2019/8/18, 41
2019/8/19, 42
2019/8/20, 45
2019/8/21, 49
2019/8/22, 48
2019/8/23, 59
2019/8/24, 82
2019/8/25, 94
2019/8/26, 76
2019/8/27, 82
2019/8/28, 48
2019/8/29, 40
2019/8/30, 44
2019/8/31, 43
2019/9/1, 30
2019/9/2, 39
2019/9/3, 37
2019/9/4, 39
2019/9/5, 41
2019/9/6, 45
2019/9/7, 37
2019/9/8, 33
2019/9/9, 52
2019/9/10, 52
2019/9/11, 41
2019/9/12, 45
2019/9/13, 37
2019/9/14, 47
2019/9/15, 49
2019/9/16, 52
2019/9/17, 43
2019/9/18, 41
2019/9/19, 47
2019/9/20, 53
2019/9/21, 51
2019/9/22, 45
2019/9/23, 37
2019/9/24, 31
2019/9/25, 29
2019/9/26, 35
2019/9/27, 29
2019/9/28, 28
2019/9/29, 28
2019/9/30, 31
2019/4/1, 42
2019/4/2, 65
2019/4/3, 50
2019/4/4, 35
2019/4/5, 49
2019/4/6, 53
2019/4/7, 117
2019/4/8, 120
2019/4/9, 98
2019/4/10, 46
2019/4/11, 43
2019/4/12, 49
2019/4/13, 46
2019/4/14, 58
2019/4/15, 92
2019/4/16, 116
2019/4/17, 125
2019/4/18, 113
2019/4/19, 83
2019/4/20, 80
2019/4/21, 85
2019/4/22, 126
2019/4/23, 85
2019/4/24, 71
2019/4/25, 29
2019/4/26, 34
2019/4/27, 30
2019/4/28, 29
2019/4/29, 55
2019/4/30, 66
2019/5/1, 62
2019/5/2, 38
2019/5/3, 46
2019/5/4, 26
2019/5/5, 32
2019/5/6, 28
2019/5/7, 43
2019/5/8, 56
2019/5/9, 55
2019/5/10, 49
2019/5/11, 52
2019/5/12, 34
2019/5/13, 34
2019/5/14, 37
2019/5/15, 60
2019/5/16, 50
2019/5/17, 53
2019/5/18, 66
2019/5/19, 71
2019/5/20, 55
2019/5/21, 38
2019/5/22, 36
2019/5/23, 37
2019/5/24, 45
2019/5/25, 29
2019/5/26, 33
2019/5/27, 30
2019/5/28, 25
2019/5/29, 40
2019/5/30, 40
2019/5/31, 27
2019/6/1, 37
2019/6/2, 41
2019/6/3, 43
2019/6/4, 52
2019/6/5, 44
2019/6/6, 38
2019/6/7, 46
2019/6/8, 38
2019/6/9, 33
2019/6/10, 73
2019/6/11, 29
2019/6/12, 36
2019/6/13, 34
2019/6/14, 37
2019/6/15, 37
2019/6/16, 34
2019/6/17, 34
2019/6/18, 50
2019/6/19, 55
2019/6/20, 37
2019/6/21, 37
2019/6/22, 34
2019/6/23, 69
2019/6/24, 75
2019/6/25, 63
2019/6/26, 47
2019/6/27, 42
2019/6/28, 52
2019/6/29, 66
2019/6/30, 43
2019/1/1, 32
2019/1/2, 30
2019/1/3, 38
2019/1/4, 72
2019/1/5, 64
2019/1/6, 58
2019/1/7, 46
2019/1/8, 34
2019/1/9, 37
2019/1/10, 78
2019/1/11, 59
2019/1/12, 36
2019/1/13, 26
2019/1/14, 40
2019/1/15, 37
2019/1/16, 35
2019/1/17, 36
2019/1/18, 50
2019/1/19, 40
2019/1/21, 76
2019/1/22, 33
2019/1/23, 74
2019/1/24, 87
2019/1/25, 73
2019/1/26, 33
2019/1/27, 33
2019/1/28, 36
2019/1/29, 49
2019/1/30, 46
2019/1/31, 70
2019/2/1, 60
2019/2/2, 50
2019/2/3, 48
2019/2/4, 52
2019/2/5, 62
2019/2/6, 70
2019/2/7, 42
2019/2/8, 38
2019/2/9, 39
2019/2/10, 27
