Middle Super Output Area,Table 1: 2013 Available Low Grade Heat;Typical Temperature;Greater London Totals (GWh);As a % of total heat demand;MSOA Name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000576,Islington 023,31,873,,, -   ,"8,420","10,780",420, -   , -   ,866,"28,376", -   ,131, -   , -   ,"3,813",54
E02000577,Kensington and Chelsea 001,75,"2,138",,, -   ,"4,817","11,299", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,236",22
E02000578,Kensington and Chelsea 002,54,"1,513",,, -   ,"4,199","5,107", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,631",14
E02000579,Kensington and Chelsea 003,56,"1,593",,, -   ,"4,069","5,952",280, -   , -   , -   , -   , -   ,, -   , -   ,"3,071",15
E02000580,Kensington and Chelsea 004,14,402,,, -   ,"4,557","20,975",140, -   , -   ,289, -   , -   ,, -   , -   ,"3,210",30
E02000581,Kensington and Chelsea 005,59,"1,677",,, -   ,"3,906","5,867",280, -   , -   , -   , -   , -   ,, -   , -   ,"3,227",15
E02000582,Kensington and Chelsea 006, -   , -   ,"26,047",, -   ,"7,725","25,456",420, -   , -   ,433, -   , -   ,, -   ,"1,205","3,245",65
E02000583,Kensington and Chelsea 007,80,"2,276",,, -   ,"7,986","17,274",140, -   , -   ,144, -   , -   ,, -   , -   ,"2,998",31
E02000584,Kensington and Chelsea 008,1,34,,, -   ,"8,506","26,300",280, -   , -   , -   , -   , -   ,, -   , -   ,"3,279",38
E02000585,Kensington and Chelsea 009,5,129,,, -   ,"7,595","14,546",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,525",26
E02000586,Kensington and Chelsea 010,11,327,,, -   ,"17,478","18,313", -   , -   , -   , -   , -   , -   ,, -   , -   ,"6,872",43
E02000587,Kensington and Chelsea 011,39,"1,115",,, -   ,"7,942","30,131",280, -   , -   ,866, -   , -   ,, -   , -   ,"3,196",44
E02000588,Kensington and Chelsea 012,49,"1,391",,, -   ,"21,480","35,651",140, -   , -   ,433, -   , -   ,, -   , -   ,"3,284",62
E02000589,Kensington and Chelsea 013,25,712,"85,706",, -   ,472,"15,260",140, -   , -   ,433, -   , -   ,131, -   ,"3,514", -   ,106
E02000590,Kensington and Chelsea 014,24,694,,, -   ,"19,030","31,300",420, -   , -   ,144, -   , -   ,392, -   , -   ,"3,362",55
E02000591,Kensington and Chelsea 015,25,708,,, -   ,"3,808","15,196", -   , -   , -   ,"2,287", -   , -   ,, -   , -   ,"2,720",25
E02000592,Kensington and Chelsea 016,71,"2,028",,, -   ,"17,968","19,481",140, -   , -   ,289, -   , -   ,, -   , -   ,"3,037",43
E02000593,Kensington and Chelsea 017,0,3,,, -   ,959,"16,689",280, -   , -   , -   , -   , -   ,, -   , -   ,"3,004",21
E02000594,Kensington and Chelsea 018, -   , -   ,,, -   ,"20,418","36,820", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,263",61
E02000595,Kensington and Chelsea 019,11,304,,, -   ,"18,376","22,663", -   , -   , -   ,433, -   , -   ,, -   , -   ,"3,192",45
E02000596,Kensington and Chelsea 020, -   , -   ,,, -   ,959,"17,858",140, -   , -   ,578, -   , -   ,, -   , -   ,"2,971",23
E02000597,Kensington and Chelsea 021,1,33,,, -   ,"7,508","12,923", -   , -   , -   ,289, -   , -   ,, -   , -   ,"3,436",24
E02000598,Kingston upon Thames 001,38,63,,, -   ,"4,557","5,206",280, -   , -   ,144, -   , -   ,, -   , -   , -   ,10
E02000599,Kingston upon Thames 002,20,84,,, -   ,681,"5,206", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,6
E02000600,Kingston upon Thames 003,220,"6,234",,,"1,071","3,906","4,643", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,16
E02000601,Kingston upon Thames 004,96,"2,731",,, -   ,"6,597","6,036",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,16
E02000602,Kingston upon Thames 005,139,"3,949",,, -   ,"4,524","5,361",560, -   ,560,"1,709", -   , -   ,, -   , -   , -   ,17
E02000603,Kingston upon Thames 006,298,"7,825",,, -   ,401,"9,936", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,468",22
E02000604,Kingston upon Thames 007,415,"9,983",,, -   ,"4,622","5,698",420, -   , -   ,722, -   , -   ,, -   , -   , -   ,22
E02000605,Kingston upon Thames 008,332,"8,155",,, -   ,"3,450","4,854", -   ,"7,790", -   , -   , -   , -   ,, -   , -   ,"3,376",28
E02000606,Kingston upon Thames 009,131,"3,725",,"16,601.30", -   ,"4,134","15,390",280, -   , -   ,722, -   , -   ,, -   , -   ,"6,609",48
E02000607,Kingston upon Thames 010,218,"5,210",,,"14,790","4,004","5,206", -   , -   , -   , -   , -   ,"248,877",, -   , -   ,"6,299",285
E02000608,Kingston upon Thames 011,130,"3,687",,, -   ,"6,770","9,741", -   , -   , -   ,866, -   , -   ,, -   , -   , -   ,21
E02000609,Kingston upon Thames 012,196,"5,037",,, -   ,681,"1,091",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,113",10
E02000610,Kingston upon Thames 013,223,"6,361",,, -   ,"3,743","4,516", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,15
E02000611,Kingston upon Thames 014,426,"8,847",,, -   ,681,"1,104", -   , -   , -   ,144, -   , -   ,, -   , -   ,"6,634",18
E02000612,Kingston upon Thames 015,518,"14,433",,, -   ,681,"5,206", -   , -   , -   ,289, -   , -   ,, -   , -   ,"3,439",25
E02000613,Kingston upon Thames 016,135,"3,847",,, -   ,681,"1,117", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,6
E02000614,Kingston upon Thames 017,"1,295","35,488",,, -   ,"3,906","4,601", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,797",49
E02000615,Kingston upon Thames 018,349,"8,737",,, -   ,"3,418","4,601",140, -   , -   ,289, -   , -   ,, -   , -   ,"6,566",24
E02000616,Kingston upon Thames 019,181,"4,504",,, -   ,681,"5,206", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,600",13
E02000617,Kingston upon Thames 020,"1,478","41,449",,, -   ,"4,524","4,221",280, -   , -   , -   , -   , -   ,, -   , -   ,"3,622",56
E02000618,Lambeth 001,80,"2,274","52,126",, -   ,"6,857","23,313",140, -   , -   ,289, -   , -   ,131, -   ,"1,459","3,134",90
E02000619,Lambeth 002,77,"2,188",,, -   ,"4,394",805, -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,106",11
E02000620,Lambeth 003,96,"2,639","24,565",, -   ,"6,684","4,685", -   , -   , -   ,"1,709", -   , -   ,131, -   ,"1,655","7,496",50
E02000621,Lambeth 004,67,"1,902",,, -   ,"7,595","10,325", -   , -   , -   ,144, -   , -   ,131, -   , -   ,"3,788",24
E02000622,Lambeth 005,156,"4,431",,, -   ,"3,776","1,052", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,955",12
E02000623,Lambeth 006,43,"1,227",,, -   ,559,870, -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,002",6
E02000624,Lambeth 007,110,"3,011",,, -   ,336,961, -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,040",7
E02000625,Lambeth 008,99,"2,826",,, -   ,"3,646","1,195", -   , -   , -   , -   , -   , -   ,131, -   , -   ,"3,500",11
E02000626,Lambeth 009,40,"1,137",,, -   ,456,883, -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,278",6
E02000627,Lambeth 010,32,907,,, -   ,488,961, -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,394",6
E02000628,Lambeth 011,95,"2,707",,, -   ,467,"5,487", -   , -   , -   ,144, -   , -   ,262, -   , -   ,"3,891",13
E02000629,Lambeth 012,28,728,,, -   ,"3,255","5,192", -   , -   , -   ,289, -   , -   ,, -   , -   ,"3,322",13
E02000630,Lambeth 013,90,"2,568","26,888",, -   ,"3,873","6,120", -   , -   , -   , -   , -   , -   ,, -   ,"1,424","2,602",44
E02000631,Lambeth 014,190,"5,419","272,270",, -   ,559,"1,065", -   , -   ,"1,882", -   , -   , -   ,, -   ,"4,327","3,276",289
