Middle Super Output Area,Table 1: 2013 Available Low Grade Heat;Typical Temperature;Greater London Totals (GWh);As a % of total heat demand;MSOA Name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000715,Newham 002,34,960,,, -   ,462,"1,260", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,300",5
E02000716,Newham 003,21,34,,, -   ,462,"1,078", -   , -   ,560,289, -   , -   ,, -   , -   ,"7,165",10
E02000717,Newham 004,22,631, -   ,, -   ,396,"1,247", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,2
E02000718,Newham 005,253,"6,992",,, -   ,462,279, -   , -   , -   , -   , -   , -   ,, -   , -   ,"8,175",16
E02000719,Newham 006,37,"1,041",,, -   ,462,"1,208", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,3
E02000720,Newham 007,4,120,,, -   ,462,"4,348", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,5
E02000721,Newham 008,14,403,,, -   ,483,"1,052", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,2
E02000722,Newham 009,13,374,,, -   ,472,"1,117",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,2
E02000723,Newham 010,93,"2,654",,, -   ,450,"4,770", -   , -   , -   ,866, -   , -   ,, -   , -   , -   ,9
E02000724,Newham 011,8,239,,, -   ,462,"1,233", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,2
E02000725,Newham 012,28,786,,, -   ,"3,581","6,205",140, -   , -   ,578, -   , -   ,, -   , -   , -   ,11
E02000726,Newham 013,676,"18,229",,, -   ,"3,515","4,981", -   , -   ,499,144, -   , -   ,, -   , -   ,"17,277",45
E02000727,Newham 014,14,362,,, -   ,418,"4,812", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,6
E02000728,Newham 015,177,"5,042",,, -   ,462,"1,233", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,834",10
E02000729,Newham 016, -   , -   ,,, -   ,462,818, -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,1
E02000730,Newham 017, -   , -   ,,, -   ,385,"4,390", -   ,"7,790", -   ,289, -   , -   ,, -   , -   , -   ,13
E02000731,Newham 018,31,879,,, -   ,385,"6,120", -   , -   , -   ,144, -   , -   ,, -   , -   , -   ,8
E02000732,Newham 019,74,"2,102",,, -   ,462,"4,305", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,7
E02000733,Newham 020,95,"2,702",,, -   ,439,"1,233", -   , -   , -   , -   , -   , -   ,, -   , -   ,"7,636",12
E02000734,Newham 021,32,906,,, -   ,462,"1,078",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,3
E02000735,Newham 022,80,"1,599",,, -   ,461,"1,091", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,3
E02000736,Newham 023,477,"11,140",,, -   ,342,"4,432", -   , -   , -   , -   , -   , -   ,, -   , -   ,"8,677",25
E02000737,Newham 024,207,"5,898","20,524",, -   ,385,"1,130",140, -   , -   , -   , -   , -   ,, -   ,"1,382", -   ,30
E02000738,Newham 025,15,421,,, -   ,462,987, -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,2
E02000739,Newham 026,75,"2,136",,, -   ,434,"1,078", -   , -   ,499, -   , -   , -   ,, -   , -   ,"15,608",20
E02000740,Newham 027,291,"8,292",,, -   ,462,779, -   , -   ,560, -   , -   , -   ,, -   , -   ,"2,149",13
E02000741,Newham 028,211,"6,015",,, -   ,456,"4,263", -   , -   , -   , -   , -   , -   ,, -   , -   ,"5,055",16
E02000742,Newham 029,142,"4,049",,, -   ,462,"1,233", -   , -   , -   , -   , -   , -   ,, -   , -   ,"8,431",14
E02000743,Newham 030,54,"1,529",,, -   ,467,"1,078",140, -   , -   , -   , -   , -   ,, -   , -   ,"2,402",6
E02000744,Newham 031,72,"2,041",,, -   ,391,"1,247",140, -   , -   , -   , -   , -   ,, -   , -   ,"2,248",6
E02000745,Newham 032,169,"4,805",,, -   ,462,857, -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,635",9
E02000746,Newham 033,"1,592","44,950",,"350,998.20","99,864","4,036","10,845", -   , -   , -   ,"3,563", -   ,"4,132,666",, -   , -   ,"2,372","4,651"
E02000747,Newham 034,380,"10,827","459,531","128,066.90","1,071",462,"4,812",280, -   , -   , -   , -   , -   ,,"29,200","7,681","2,824",645
E02000748,Newham 035,791,"21,674",,, -   ,462,"1,233", -   , -   , -   ,578, -   , -   ,, -   , -   ,"2,166",27
E02000749,Newham 036,296,"7,837",,, -   ,462,"1,091", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,521",12
E02000750,Newham 037,768,"21,845","70,346",,"14,923","4,459","1,233", -   ,"7,790",499, -   , -   , -   ,, -   ,"1,126","2,695",126
E02000751,Redbridge 001,560,"15,847",,, -   ,514,"1,234", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,901",22
E02000752,Redbridge 002,"2,175","61,910",,, -   ,429,"1,130", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,66
E02000753,Redbridge 003,76,"2,170",,, -   ,514,"4,393", -   , -   , -   ,144, -   , -   ,, -   , -   , -   ,7
E02000754,Redbridge 004,496,"14,112",,, -   ,514,"4,432", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,546",22
E02000755,Redbridge 005,612,"17,085",,, -   ,401,"1,143", -   , -   , -   ,289, -   , -   ,, -   , -   ,"9,341",29
E02000756,Redbridge 006,"1,666","45,560",,, -   ,472,"5,150",280, -   , -   ,144, -   , -   ,, -   , -   , -   ,53
E02000757,Redbridge 007,160,"4,266","70,256",, -   ,"3,515","5,783",420, -   , -   ,722, -   , -   ,, -   ,"1,074", -   ,86
E02000758,Redbridge 008,340,"9,667",,, -   ,514,"4,393",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,15
E02000759,Redbridge 009,868,"23,266",,, -   ,"3,515","1,195", -   , -   , -   , -   , -   , -   ,, -   , -   ,"9,541",38
E02000760,Redbridge 010,161,"3,543","510,912",, -   ,514,"4,393", -   , -   , -   ,289, -   , -   ,, -   ,"6,307", -   ,526
E02000761,Redbridge 011,213,"6,056",,, -   ,358,"4,393", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,11
E02000762,Redbridge 012,43,"1,213",,, -   ,514,"1,208", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,3
E02000763,Redbridge 013,"1,866","52,246",,, -   ,514,"5,234",140, -   , -   ,144, -   , -   ,, -   , -   , -   ,60
E02000764,Redbridge 014,342,"9,735",,, -   ,"18,540","5,656",140, -   , -   ,289, -   , -   ,, -   , -   , -   ,35
E02000765,Redbridge 015,34,958,,, -   ,514,"4,221", -   , -   , -   ,"1,854", -   , -   ,, -   , -   , -   ,8
E02000766,Redbridge 016,372,"10,218",,, -   ,"3,841","4,393", -   , -   , -   ,"1,709", -   , -   ,,"29,200", -   ,"2,556",52
E02000767,Redbridge 017,77,"2,182",,, -   ,477,"6,120", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,9
E02000768,Redbridge 018,489,"10,536",,, -   ,514,"4,393",280, -   , -   , -   , -   , -   ,, -   , -   ,"9,611",26
E02000769,Redbridge 019,119,"3,033",,, -   ,514,"4,516", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,8
E02000770,Redbridge 020,478,"13,249",,, -   ,401,883,140, -   , -   , -   , -   , -   ,, -   , -   , -   ,15
E02000771,Redbridge 021,5,130,,, -   ,514,"1,286", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,2
E02000772,Redbridge 022,401,"10,804",,, -   ,515,"6,289",280, -   ,264,"1,709", -   , -   ,, -   , -   , -   ,20
E02000773,Redbridge 023,22,275, -   ,, -   ,423,"1,091",280, -   , -   , -   , -   , -   ,, -   , -   , -   ,2
E02000774,Redbridge 024,44,"1,265",,, -   ,483,"1,156",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,3
E02000775,Redbridge 025,11,319,,, -   ,514,"4,393", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,5
E02000776,Redbridge 026,2,53,,, -   ,456,"1,260", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,2
E02000777,Redbridge 027,"1,733","48,605",,, -   ,514,"4,393", -   , -   ,560, -   , -   , -   ,, -   , -   ,"10,375",66
E02000778,Redbridge 028,409,"10,021",,, -   ,"3,581","1,156", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,15
E02000779,Redbridge 029,234,"6,656",,, -   ,450,"1,117", -   , -   , -   ,866, -   , -   ,, -   , -   ,"20,508",30
E02000780,Redbridge 030,72,"2,052", -   ,, -   ,467,"5,825",140, -   , -   ,144, -   , -   ,, -   , -   , -   ,9
E02000781,Redbridge 031,274,"7,168",,, -   ,288,"1,195", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,9
E02000782,Redbridge 032,134,"3,522",,, -   ,499,"4,770",140, -   , -   ,144, -   , -   ,, -   , -   ,"8,912",18
E02000783,Redbridge 033,157,"3,882",,, -   ,514,896, -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,5
E02000784,Richmond upon Thames 001,"1,212","33,618",,, -   ,"6,987","13,117", -   , -   , -   ,144, -   , -   ,, -   , -   , -   ,55
E02000785,Richmond upon Thames 002,18,242,,, -   ,"7,248","5,529",140, -   , -   ,144, -   , -   ,, -   , -   ,"3,856",17
E02000786,Richmond upon Thames 003,664,"18,635","79,754","9,960.80", -   ,"7,595","10,065",280, -   , -   ,144, -   , -   ,, -   ,"1,008","4,548",133
E02000787,Richmond upon Thames 004,221,"4,721",,, -   ,"3,353","12,988",140, -   ,560,144, -   , -   ,, -   , -   ,"7,940",30
E02000788,Richmond upon Thames 005,129,"2,417",,, -   ,"4,720","9,741", -   , -   , -   ,289, -   , -   ,, -   , -   , -   ,17
E02000789,Richmond upon Thames 006,23,136,,, -   ,"18,050","11,299", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,572",32
E02000790,Richmond upon Thames 007,89,"2,365",,, -   ,"6,770","1,182", -   , -   , -   ,144, -   , -   ,, -   , -   , -   ,11
E02000791,Richmond upon Thames 008,260,"7,319",,, -   ,"18,948","19,222",420, -   , -   ,578, -   , -   ,, -   , -   ,"2,445",49
E02000792,Richmond upon Thames 009,341,"9,701",,, -   ,"7,595","6,163", -   , -   , -   , -   , -   , -   ,, -   , -   ,"8,213",32
E02000793,Richmond upon Thames 010,156,"4,437",,, -   ,867,"5,572", -   , -   , -   ,289, -   , -   ,, -   , -   ,"3,165",14
E02000794,Richmond upon Thames 011,360,"9,756",,, -   ,"6,727","9,850",140, -   , -   , -   , -   , -   ,, -   , -   ,"2,615",29
E02000795,Richmond upon Thames 012,4, -   ,,, -   ,"4,557","5,656", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,800",13
E02000796,Richmond upon Thames 013,248,"6,751",,, -   ,"3,483","1,195", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,130",16
E02000797,Richmond upon Thames 014,54,"1,535",,, -   ,"6,510","6,163",420, -   , -   ,433, -   , -   ,, -   , -   ,"2,726",18
E02000798,Richmond upon Thames 015,"1,347","36,681",,, -   ,"4,655","11,819", -   , -   , -   ,144, -   , -   ,, -   , -   ,"4,417",59
E02000799,Richmond upon Thames 016,84,"2,202",,, -   ,867,"9,850",140, -   , -   , -   , -   , -   ,, -   , -   ,"4,535",18
E02000800,Richmond upon Thames 017,147,"3,671",,, -   ,867,"9,850", -   , -   , -   ,144, -   , -   ,, -   , -   , -   ,15
E02000801,Richmond upon Thames 018,5, -   ,,, -   ,"4,720","5,909", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,711",13
E02000802,Richmond upon Thames 019,0,5,,, -   ,"7,204","5,614", -   , -   , -   ,433, -   , -   ,, -   , -   , -   ,13
E02000803,Richmond upon Thames 020,307,"8,748",,, -   ,"6,510","9,850", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,754",29
E02000804,Richmond upon Thames 021,6,168,,, -   ,"6,597","6,078",280, -   , -   ,144, -   , -   ,, -   , -   ,"9,576",23
E02000805,Richmond upon Thames 022,77, -   ,,"1,422,965.60", -   ,"8,420","4,939",280, -   , -   , -   , -   , -   ,, -   , -   ,"14,315","1,451"
E02000806,Richmond upon Thames 023,125,540,,, -   ,"6,857","4,939",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,13
E02000807,Southwark 001,191,"5,447",,, -   ,602,"4,649",280, -   , -   , -   , -   , -   ,, -   , -   ,"3,280",14
E02000808,Southwark 002,70,"1,987","22,627",, -   ,"7,986","5,698",280, -   , -   ,289, -   , -   ,131, -   ,936,"3,630",44
E02000809,Southwark 003,78,"2,212","19,445",, -   ,"18,376","5,783",280, -   , -   ,144, -   , -   ,, -   ,909,"4,578",52
E02000810,Southwark 004,65,"1,810","38,593",, -   ,602,870, -   , -   , -   , -   , -   , -   ,, -   ,"1,278","3,494",47
E02000811,Southwark 005,104,"2,892","39,936",, -   ,"7,421","1,026",140, -   , -   ,289, -   , -   ,262, -   ,871,"3,329",56
E02000812,Southwark 006,65,"1,856",,, -   ,"7,899","12,533", -   , -   , -   ,722, -   , -   ,, -   , -   ,"3,865",27
E02000813,Southwark 007,221,"6,302",,, -   ,"3,711","10,520",140, -   , -   ,"2,287", -   , -   ,, -   , -   ,"3,203",26
E02000814,Southwark 008,191,"5,446",,, -   ,602,"1,182",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,596",11
E02000815,Southwark 009,62,"1,768",,, -   ,"4,850","1,182", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,144",11
E02000816,Southwark 010,50,"1,267","62,511",, -   ,602,948, -   , -   , -   , -   , -   , -   ,, -   ,"2,573","3,500",71
E02000817,Southwark 011,145,"4,128",,, -   ,602,870,140, -   , -   , -   , -   , -   ,, -   , -   ,"2,693",9
E02000818,Southwark 012,68,"1,944",,, -   ,456,"4,854", -   , -   , -   ,578, -   , -   ,, -   , -   ,"3,128",11
E02000819,Southwark 013,25,715,,, -   ,456,"9,806", -   , -   , -   ,"1,709", -   , -   ,, -   , -   ,"3,134",16
E02000820,Southwark 014,39,"1,112",,, -   ,"3,483","4,221", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,365",12
E02000821,Southwark 015,255,"7,222",,, -   ,467,"5,361", -   , -   , -   ,"1,709", -   , -   ,, -   , -   ,"3,361",18
E02000822,Southwark 016,166,"4,729",,, -   ,602,"10,585", -   , -   , -   ,289, -   , -   ,, -   , -   ,"3,527",20
E02000823,Southwark 017,198,"5,575",,, -   ,385,"1,169",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,212",11
E02000824,Southwark 018,93,"2,638",,, -   ,439,"5,656", -   , -   , -   , -   , -   , -   ,,"29,200", -   ,"3,652",42
E02000825,Southwark 019,79,"2,257",,, -   ,602,"4,649", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,568",11
E02000826,Southwark 020,53,"1,470",,, -   ,"4,687","1,026",140, -   , -   ,289, -   , -   ,, -   , -   ,"3,720",11
E02000827,Southwark 021,35,986,,, -   ,450,"1,156",140, -   , -   ,578, -   , -   ,, -   , -   ,"4,154",7
E02000828,Southwark 022,64,"1,740",,, -   ,537,"5,487",280, -   , -   ,"1,155", -   , -   ,, -   , -   ,"3,207",12
E02000829,Southwark 023,91,"2,568",,, -   ,396,"1,039", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,677",8
E02000830,Southwark 024,67,"1,803","65,956",, -   ,445,"1,208", -   , -   , -   , -   , -   , -   ,, -   ,"3,635","3,299",76
E02000831,Southwark 025,42,"1,201",,, -   ,434,"4,812", -   , -   , -   ,"1,854", -   , -   ,, -   , -   ,"3,482",12
E02000832,Southwark 026,1,40,,, -   ,445,"1,026", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,730",5
E02000833,Southwark 027,288,"8,198",,, -   ,602,"4,649", -   , -   , -   ,144, -   , -   ,, -   , -   , -   ,14
E02000834,Southwark 028,268,"7,623",,, -   ,467,"4,474",140, -   , -   ,289, -   , -   ,, -   , -   ,"16,209",29
E02000835,Southwark 029,290,"6,090",,, -   ,602,"4,649", -   , -   ,560, -   , -   , -   ,, -   , -   ,"2,824",15
E02000836,Southwark 030,114,"3,233","40,117",, -   ,429,"5,023", -   , -   , -   , -   , -   , -   ,, -   ,885,"3,301",53
E02000837,Southwark 031,535,"15,226",,, -   ,521,"5,234",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,087",25
E02000838,Southwark 032,164,"4,291",,, -   ,602,"1,247", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,6
E02000839,Southwark 033,"1,020","25,968",,, -   ,602,"4,649",280, -   , -   , -   , -   , -   ,, -   , -   ,"12,177",45
E02000840,Sutton 001,559,"15,722",,, -   ,"3,418","4,516", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,24
E02000841,Sutton 002,369,"10,489",,, -   ,347,"1,182",280, -   , -   , -   , -   , -   ,, -   , -   , -   ,13
E02000842,Sutton 003,384,"10,274",,, -   ,505,"4,221", -   , -   , -   ,"1,709", -   , -   ,, -   , -   ,"35,079",52
E02000843,Sutton 004,257,"6,340",,, -   ,380,"1,247", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,8
E02000844,Sutton 005,104,"2,243",,, -   ,"4,524","1,039",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,8
E02000845,Sutton 006,287,"7,441",,, -   ,532,"4,939", -   , -   , -   ,433, -   , -   ,, -   , -   ,"3,385",17
E02000846,Sutton 007,450,"11,565",,, -   ,533,"4,538", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,17
E02000847,Sutton 008,44,"1,262",,, -   ,488,"4,643", -   , -   , -   ,433, -   , -   ,, -   , -   ,"3,426",10
E02000848,Sutton 009,62,"1,729",,, -   ,"3,255","10,390",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,16
E02000849,Sutton 010,293,"7,014",,, -   ,532,"1,169",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,9
E02000850,Sutton 011,800,"20,791",,,"75,412",499,"10,455",140, -   , -   ,"1,709", -   ,"399,513",,"29,200", -   ,"4,090",543
E02000851,Sutton 012,94,"2,679",,, -   ,"3,808","6,036",280, -   , -   ,"2,287","6,959", -   ,, -   , -   , -   ,22
E02000852,Sutton 013,83,"2,262",,, -   ,533,"4,538", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,7
E02000853,Sutton 014,379,"8,754",,, -   ,"3,483",857,140, -   , -   , -   , -   , -   ,, -   , -   , -   ,14
E02000854,Sutton 015,162,"3,713",,, -   ,510,"1,221",140, -   , -   ,289, -   , -   ,, -   , -   , -   ,6
E02000855,Sutton 016,24,193,,, -   ,"3,873","4,601",140, -   , -   ,433, -   , -   ,, -   , -   , -   ,9
E02000856,Sutton 017,34,965,,, -   ,505,"5,234", -   , -   , -   ,722, -   , -   ,, -   , -   , -   ,7
E02000857,Sutton 018,20,563,,, -   ,533,"4,538",280, -   , -   ,144, -   , -   ,, -   , -   , -   ,6
E02000858,Sutton 019,748,"21,284",,, -   ,488,"4,390",140, -   , -   , -   ,"58,880", -   ,, -   , -   , -   ,86
E02000859,Sutton 020,98,"1,667",,, -   ,521,"1,182",140, -   , -   ,144, -   , -   ,, -   , -   , -   ,4
E02000860,Sutton 021,96,"2,072",,, -   ,533,"5,023", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,8
E02000861,Sutton 022,207,"5,896",,, -   ,533,"4,221", -   , -   , -   ,289, -   , -   ,, -   , -   , -   ,11
E02000862,Sutton 023,845,"23,973",,, -   ,"3,320","1,143",280, -   , -   , -   , -   , -   ,, -   , -   , -   ,30
E02000863,Sutton 024,"3,116","87,505",,, -   ,533,"4,538",280, -   , -   , -   , -   , -   ,, -   , -   , -   ,96
E02000864,Tower Hamlets 001,1,21,,, -   ,"3,418","5,403", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,129",12
E02000865,Tower Hamlets 002,19,545,,, -   ,726,"1,156",140, -   , -   , -   , -   , -   ,, -   , -   ,"2,698",5
E02000866,Tower Hamlets 003,520,"14,788",,, -   ,726,"4,812",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,539",25
E02000867,Tower Hamlets 004,49,"1,388",,, -   ,537,"1,169",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,296",7
E02000868,Tower Hamlets 005,2,60,,, -   ,"3,939","5,825",280, -   , -   ,289, -   , -   ,131, -   , -   ,"2,579",13
E02000869,Tower Hamlets 006,5,146,,, -   ,"3,939","4,685", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,027",11
E02000870,Tower Hamlets 007,19,398,,, -   ,"3,873","1,260", -   , -   , -   , -   , -   , -   ,131, -   , -   ,"2,555",8
E02000871,Tower Hamlets 008,63,"1,680",,, -   ,726,"1,013", -   , -   ,499,"1,709", -   , -   ,, -   , -   ,"3,214",9
E02000872,Tower Hamlets 009,51,"1,437",,, -   ,"3,841","4,474", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,622",12
E02000873,Tower Hamlets 010,45,"1,282",,, -   ,"3,743","4,390", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,440",13
E02000874,Tower Hamlets 011,57,"1,628",,, -   ,726,"5,529", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,863",11
E02000875,Tower Hamlets 012,57,"1,615","30,891",, -   ,"6,770","1,143", -   , -   , -   , -   , -   , -   ,, -   ,"1,054","3,524",45
E02000876,Tower Hamlets 013,108,"3,075",,, -   ,"4,069","5,361",280, -   , -   ,144, -   , -   ,, -   , -   ,"2,808",16
E02000877,Tower Hamlets 014,222,"6,329",,, -   ,"3,646","4,474",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,634",18
E02000878,Tower Hamlets 015,57,"1,616","21,655",, -   ,"7,942","5,698",280, -   , -   ,289,"16,117", -   ,, -   ,"1,459","3,790",59
E02000879,Tower Hamlets 016,80,"2,269",,, -   ,"3,678","1,065", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,888",10
E02000880,Tower Hamlets 017,12,345,,, -   ,"3,418","4,390", -   , -   , -   ,144, -   , -   ,, -   , -   ,"2,378",11
E02000881,Tower Hamlets 018,58,"1,657",,, -   ,"3,548","5,040",140, -   , -   , -   ,"3,732", -   ,, -   , -   ,"2,656",17
E02000882,Tower Hamlets 019,111,"3,146",,, -   ,"3,581","1,117", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,155",11
E02000883,Tower Hamlets 020,39,"1,117",,, -   ,726,"1,117", -   , -   ,499,289,"127,945", -   ,, -   , -   ,"3,097",135
E02000884,Tower Hamlets 021,48,"1,360",,, -   ,"3,841","1,260", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,083",10
E02000885,Tower Hamlets 022,26,475,,, -   ,"3,646","4,221",140, -   , -   , -   , -   , -   ,, -   , -   ,"2,789",11
E02000886,Tower Hamlets 023,62,"1,771",,, -   ,"3,939","1,221", -   , -   , -   ,578, -   , -   ,, -   , -   ,"2,646",10
E02000887,Tower Hamlets 024,93,"2,660",,, -   ,"3,646","4,390", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,056",14
E02000888,Tower Hamlets 025,60,"1,713",,, -   ,"4,036","4,559",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,060",14
E02000889,Tower Hamlets 026,86,"2,458",,, -   ,"6,553","4,854",140, -   , -   , -   , -   , -   ,, -   , -   ,"2,335",16
E02000890,Tower Hamlets 027,87,"2,474",,, -   ,"8,289","11,429",280, -   , -   ,"3,875", -   , -   ,, -   , -   ,"2,055",28
E02000891,Tower Hamlets 028,160,"4,556",,, -   ,"4,850","11,299",280, -   , -   ,"1,709","60,592", -   ,, -   , -   ,"4,209",88
E02000892,Tower Hamlets 029,139,"3,953","575,772",, -   ,"19,030","24,352",140, -   , -   ,866,"58,411", -   ,, -   ,"11,832","3,982",698
E02000893,Tower Hamlets 030,30,457,,, -   ,726,"5,040", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,745",9
E02000894,Tower Hamlets 031,64,"1,834",,, -   ,"18,131","5,040", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,849",29
E02000895,Waltham Forest 001,666,"18,341",,, -   ,494,"4,288", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,947",27
E02000896,Waltham Forest 002,839,"23,531",,, -   ,"3,353","5,276",140, -   , -   ,289, -   , -   ,, -   , -   , -   ,33
E02000897,Waltham Forest 003,570,"14,966",,, -   ,494,"4,288", -   , -   , -   , -   , -   , -   ,, -   , -   ,"5,922",26
E02000898,Waltham Forest 004,284,"7,484",,, -   ,494,"4,288",280, -   , -   , -   , -   , -   ,, -   , -   ,"2,760",16
E02000899,Waltham Forest 005,112,"2,745",,, -   ,418,"4,348", -   , -   , -   ,144, -   , -   ,, -   , -   ,"2,889",11
E02000900,Waltham Forest 006,375,"9,054",,, -   ,"3,776","11,429",140, -   , -   ,722, -   , -   ,, -   , -   ,"2,920",28
E02000901,Waltham Forest 007,159,"4,183",,, -   ,488,"1,273", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,289",9
E02000902,Waltham Forest 008,372,"10,576",,, -   ,494,"4,727",140, -   , -   , -   , -   , -   ,, -   , -   ,"2,972",19
E02000903,Waltham Forest 009,733,"18,524","36,726",, -   ,494,"1,065", -   , -   , -   , -   , -   , -   ,, -   ,925,"3,275",62
E02000904,Waltham Forest 010,262,"6,258",,, -   ,494,"4,685",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,12
E02000905,Waltham Forest 011,276,"7,134",,, -   ,456,"1,234", -   , -   , -   , -   , -   , -   ,, -   , -   ,"5,838",15
E02000906,Waltham Forest 012,28,809,,, -   ,"3,776","1,039",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,370",9
E02000907,Waltham Forest 013,77,"1,446",,, -   ,434,"1,052", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,3
E02000908,Waltham Forest 014,550,"15,432",,, -   ,494,"1,000",140, -   , -   , -   , -   , -   ,131, -   , -   ,"3,300",21
E02000909,Waltham Forest 015,209,"5,547",,, -   ,450,"1,026", -   , -   , -   ,144, -   , -   ,, -   , -   , -   ,7
E02000910,Waltham Forest 016,21,590,"57,216",, -   ,407,"4,263", -   , -   , -   ,144, -   , -   ,, -   ,"1,394", -   ,64
E02000911,Waltham Forest 017,61,"1,394",,, -   ,439,"5,445",280, -   , -   ,"2,576", -   , -   ,, -   , -   ,"13,937",24
E02000912,Waltham Forest 018,948,"25,405","29,940",, -   ,494,"4,288",280, -   , -   ,289, -   , -   ,, -   ,"2,017","3,152",67
E02000913,Waltham Forest 019,37,"1,041",,, -   ,472,"1,247", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,3
E02000914,Waltham Forest 020,53,"1,507",,, -   ,521,"4,348",140, -   , -   ,"1,709", -   , -   ,, -   , -   , -   ,8
E02000915,Waltham Forest 021,468,"13,241",,, -   ,494,"4,854", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,19
E02000916,Waltham Forest 022,"1,193","30,551",,, -   ,494,"1,052",280, -   , -   , -   , -   , -   ,, -   , -   ,"12,970",47
E02000917,Waltham Forest 023,69,"1,976",,, -   ,494,"4,601", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,7
