Middle Super Output Area,MSOA Name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000885,Tower Hamlets 022,26,475, -   , -   , -   ,"3,281","3,799",126, -   , -   , -   , -   , -   , -   , -   , -   ,"2,789",10
E02000886,Tower Hamlets 023,62,"1,771", -   , -   , -   ,"3,545","1,099", -   , -   , -   ,433, -   , -   , -   , -   , -   ,"2,646",10
E02000887,Tower Hamlets 024,93,"2,660", -   , -   , -   ,"3,281","3,951", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,056",13
E02000888,Tower Hamlets 025,60,"1,713", -   , -   , -   ,"3,633","4,103",126, -   , -   , -   , -   , -   , -   , -   , -   ,"3,060",13
E02000889,Tower Hamlets 026,86,"2,458", -   , -   , -   ,"5,898","4,369",126, -   , -   , -   , -   , -   , -   , -   , -   ,"2,335",15
E02000890,Tower Hamlets 027,87,"2,474", -   , -   , -   ,"7,460","10,286",252, -   , -   ,"2,906", -   , -   , -   , -   , -   ,"2,055",26
E02000891,Tower Hamlets 028,160,"4,556", -   , -   , -   ,"4,365","10,169",252, -   , -   ,"1,282","45,444", -   , -   , -   , -   ,"4,209",70
E02000892,Tower Hamlets 029,139,"3,953","287,886", -   , -   ,"17,127","21,917",126, -   , -   ,650,"43,808", -   , -   , -   ,"20,706","3,982",400
E02000893,Tower Hamlets 030,30,457, -   , -   , -   ,653,"4,536", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,745",8
E02000894,Tower Hamlets 031,64,"1,834", -   , -   , -   ,"16,318","4,536", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,849",27
E02000895,Waltham Forest 001,666,"18,341", -   , -   , -   ,444,"3,859", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,947",26
E02000896,Waltham Forest 002,839,"23,531", -   , -   , -   ,"3,017","4,749",126, -   , -   ,217, -   , -   , -   , -   , -   , -   ,32
E02000897,Waltham Forest 003,570,"14,966", -   , -   , -   ,444,"3,859", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"5,922",26
E02000898,Waltham Forest 004,284,"7,484", -   , -   , -   ,444,"3,859",252, -   , -   , -   , -   , -   , -   , -   , -   ,"2,760",15
E02000899,Waltham Forest 005,112,"2,745", -   , -   , -   ,376,"3,913", -   , -   , -   ,108, -   , -   , -   , -   , -   ,"2,889",10
E02000900,Waltham Forest 006,375,"9,054", -   , -   , -   ,"3,398","10,286",126, -   , -   ,542, -   , -   , -   , -   , -   ,"2,920",27
