Middle Super Output Area,MSOA name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000938,Wandsworth 016,527,"17,026", -   ,, -   ,"6,164",876, -   , -   , -   , -   , -   , -   ,, -   , -   ,"12,280",37
E02000939,Wandsworth 017,107,"3,674", -   ,, -   ,869,"7,081", -   , -   , -   ,366, -   , -   ,, -   , -   ,"4,485",17
E02000940,Wandsworth 018,164,"5,607", -   ,, -   ,"4,264","13,646", -   , -   , -   ,549, -   , -   ,, -   , -   ,"4,573",29
E02000941,Wandsworth 019,208,"7,119", -   ,, -   ,"4,307","1,600", -   , -   , -   , -   , -   , -   ,, -   , -   ,"5,788",19
E02000942,Wandsworth 020,29,991, -   ,, -   ,"4,771","14,151", -   , -   , -   ,366, -   , -   ,, -   , -   ,"15,501",36
E02000943,Wandsworth 021,133,"4,497", -   ,, -   ,"5,573","7,610", -   , -   , -   ,"1,098", -   , -   ,182, -   , -   ,"4,424",24
E02000944,Wandsworth 022,71,"2,444", -   ,, -   ,869,"1,482", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,183",9
E02000945,Wandsworth 023,298,"9,580", -   ,, -   ,"4,602","13,393", -   , -   , -   ,"2,166", -   , -   ,, -   , -   , -   ,30
E02000946,Wandsworth 024,16,10, -   ,, -   ,"5,489","1,668", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,529",12
E02000947,Wandsworth 025,192,"6,293", -   ,, -   ,"4,518","5,530", -   , -   , -   ,183, -   , -   ,, -   , -   , -   ,17
E02000948,Wandsworth 026,867,"29,687", -   ,, -   ,"5,320","1,600", -   , -   , -   , -   , -   , -   ,, -   , -   ,"5,283",43
E02000949,Wandsworth 027,387,"13,255", -   ,, -   ,676,"16,847", -   , -   , -   ,366, -   , -   ,, -   , -   ,"5,345",37
E02000950,Wandsworth 028,210,"7,186", -   ,, -   ,869,"6,680", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,15
E02000951,Wandsworth 029,6,216,"71,747",, -   ,"5,320","6,789", -   , -   , -   ,"1,098", -   , -   ,189, -   ,"2,051","3,609",91
E02000952,Wandsworth 030,130,"4,452", -   ,, -   ,598,"1,533", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,338",10
E02000953,Wandsworth 031,46,314, -   ,, -   ,869,"1,634", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,841",7
E02000954,Wandsworth 032,5,126, -   ,, -   ,542,"7,994", -   , -   , -   ,183, -   , -   ,, -   , -   ,"3,395",12
E02000955,Wandsworth 033,44,"1,522", -   ,, -   ,"4,518","13,646", -   , -   , -   ,732, -   , -   ,, -   , -   ,"3,501",24
E02000956,Wandsworth 034,58,"1,981", -   ,,"4,107","4,307","6,077", -   , -   ,713,366, -   , -   ,182, -   , -   ,"3,753",22
E02000957,Wandsworth 035,9,295, -   ,, -   ,640,"6,734", -   , -   , -   ,"1,281", -   , -   ,, -   , -   ,"5,075",14
E02000958,Wandsworth 036,234,"7,997", -   ,, -   ,869,"7,081", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,461",21
E02000959,Wandsworth 037,17,597, -   ,, -   ,"8,669","1,146", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,898",14
E02000960,Westminster 001,2,66, -   ,, -   ,"5,404","32,177",182, -   , -   ,183, -   , -   ,, -   , -   ,"4,596",43
E02000961,Westminster 002,80,"2,751", -   ,, -   ,"5,362","16,341", -   , -   , -   , -   , -   , -   ,370, -   , -   ,"5,902",31
E02000962,Westminster 003,44,"1,524","203,076",, -   ,"10,021","21,752", -   , -   , -   , -   , -   , -   ,,"33,599","4,284","6,830",281
E02000963,Westminster 004,25,844, -   ,, -   ,"8,726","6,187",182, -   , -   , -   , -   , -   ,, -   , -   ,"5,600",22
E02000964,Westminster 005,15,520, -   ,, -   ,"5,911","6,570", -   , -   , -   ,366, -   , -   ,, -   , -   ,"6,472",20
E02000965,Westminster 006,179,"6,125","57,340",, -   ,"5,869","7,556",182, -   , -   , -   , -   , -   ,, -   ,"1,500","5,837",85
E02000966,Westminster 007,65,"2,231", -   ,, -   ,"8,557","18,531",182, -   , -   ,366, -   , -   ,, -   , -   ,"6,018",36
E02000967,Westminster 008,3,92, -   ,, -   ,"23,519","23,754",182, -   , -   ,549, -   , -   ,377, -   , -   ,"5,102",54
E02000968,Westminster 009,77,"2,632", -   ,, -   ,"6,164","13,477",182, -   , -   ,549, -   , -   ,194,"33,599", -   ,"9,121",66
E02000969,Westminster 010,102,"3,477", -   ,, -   ,"5,320","21,752",363, -   , -   , -   , -   , -   ,, -   , -   ,"6,148",37
E02000970,Westminster 011,93,"3,198","140,637",, -   ,"29,557","25,607",726, -   , -   ,"1,281", -   , -   ,182, -   ,"4,553","5,659",211
E02000971,Westminster 012,20,676, -   ,, -   ,"25,849","25,186",363, -   , -   ,183, -   , -   ,, -   , -   ,"6,147",58
E02000972,Westminster 013,40,"1,376","163,208",, -   ,"29,027","36,220","2,179", -   , -   ,"1,098", -   , -   ,725, -   ,"4,205","4,899",243
E02000973,Westminster 014,29,"1,007","245,139",, -   ,"8,669","20,721",182, -   , -   ,549, -   , -   ,, -   ,"6,988","5,550",289
E02000974,Westminster 015,83,"2,831", -   ,, -   ,"25,849","25,354", -   , -   , -   ,549, -   , -   ,, -   , -   ,"5,425",60
E02000975,Westminster 016,24,829, -   ,, -   ,"24,790","17,436",182, -   , -   ,915, -   , -   ,180, -   , -   ,"5,266",50
E02000976,Westminster 017,52,"1,780", -   ,, -   ,"9,401","29,060",726, -   , -   ,549, -   , -   ,, -   , -   ,"6,432",48
E02000977,Westminster 018,7,227,"268,641",, -   ,"29,981","40,769","1,634", -   , -   ,"2,013", -   , -   ,564, -   ,"5,773","5,311",355
E02000978,Westminster 019,4,125,"414,024",, -   ,"28,074","16,088", -   , -   , -   ,183, -   , -   ,380, -   ,"10,045","6,992",476
E02000979,Westminster 020, -   , -   , -   ,, -   ,"26,379","20,890","1,090", -   , -   ,732, -   , -   ,183, -   , -   ,"6,642",56
E02000980,Westminster 021,68,"2,329","71,246",, -   ,"23,942","21,752", -   , -   , -   , -   , -   , -   ,, -   ,"3,073", -   ,122
E02000981,Westminster 022,1,33, -   ,, -   ,"25,108","14,656",182, -   , -   ,549, -   , -   ,191, -   , -   , -   ,41
E02000982,Westminster 023,52,"1,786", -   ,, -   ,"29,133","35,799",363, -   , -   ,366, -   , -   ,, -   , -   ,"5,756",73
E02000983,Westminster 024,110,"3,760", -   ,, -   ,"24,048","13,477",182, -   , -   , -   , -   , -   ,, -   , -   , -   ,42
