Middle Super Output Area,MSOA name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh ,
E02000352,Hackney 008, -   , -   ,"27,650", -   , -   ,576,"5,815", -   , -   , -   , -   , -   , -   , -   , -   ,"4,173","3,457",42,
E02000353,Hackney 009, -   , -   , -   , -   , -   ,"3,876","1,395",327, -   , -   ,412, -   , -   , -   , -   , -   ,"4,183",10,
E02000354,Hackney 010,282,"9,610", -   , -   , -   ,"3,876","1,152", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,672",20,
E02000355,Hackney 011,167,"5,718", -   , -   , -   ,621,955, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,339",12,
E02000356,Hackney 012,25,715, -   , -   , -   ,545,"1,046",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,
E02000357,Hackney 013,"1,681","57,543","284,256", -   , -   ,"3,914",925, -   , -   , -   , -   , -   , -   , -   ,"58,798","11,770","3,663",423,
E02000358,Hackney 014,17,573, -   , -   , -   ,627,"1,274", -   , -   , -   ,412, -   , -   , -   , -   , -   ,"5,852",9,
E02000359,Hackney 015,41,"1,398", -   , -   , -   ,669,864, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,557",7,
E02000360,Hackney 016,38,"1,289", -   , -   , -   ,"4,370","1,304", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"5,436",13,
E02000361,Hackney 017,54,"1,854", -   , -   , -   ,"4,218","1,365",163, -   , -   ,"1,625", -   , -   , -   , -   , -   ,"3,726",13,
E02000362,Hackney 018,43,778, -   , -   , -   ,"4,028","1,122", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,214",9,
E02000363,Hackney 019,161,"5,527", -   , -   , -   ,669,955, -   , -   , -   ,275, -   , -   , -   , -   , -   ,"5,892",13,
E02000364,Hackney 020,34,"1,169", -   , -   , -   ,"3,838","6,357", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,290",16,
E02000365,Hackney 021,57,"1,937", -   , -   , -   ,"3,876","5,617",163, -   , -   ,137, -   , -   , -   , -   , -   ,"6,033",18,
E02000366,Hackney 022,5,163, -   , -   , -   ,"4,256","1,122", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,373",10,
E02000367,Hackney 023,7,225, -   , -   , -   ,"4,408","1,349",163, -   , -   ,549, -   , -   , -   , -   , -   ,"4,786",11,
E02000368,Hackney 024,179,"6,143","21,801", -   , -   ,570,"1,031", -   , -   , -   , -   , -   , -   , -   , -   ,"3,239","4,917",38,
E02000369,Hackney 025,71,"2,426", -   , -   , -   ,"4,142","1,167",327, -   ,25,137, -   , -   , -   , -   , -   ,"5,701",14,
E02000370,Hackney 026,201,"6,894", -   , -   , -   ,"5,510","5,864",163, -   , -   , -   , -   , -   ,188, -   , -   ,"3,930",23,
E02000371,Hackney 027,109,"3,724","380,332", -   , -   ,"7,651","5,913","1,471", -   ,25,275, -   , -   , -   , -   ,"23,075","5,582",428,
E02000372,Hammersmith and Fulham 001,176,"6,009", -   , -   , -   ,"4,484","6,652", -   , -   ,"1,349", -   , -   , -   , -   , -   , -   ,"4,506",23,
E02000373,Hammersmith and Fulham 002,96,"3,286", -   , -   , -   ,965,"11,371", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,412",19,
E02000374,Hammersmith and Fulham 003,8,261, -   , -   , -   ,965,"6,406", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,898",12,
E02000375,Hammersmith and Fulham 004,145,"4,981","48,288", -   , -   ,"5,206","12,054", -   , -   , -   ,275, -   , -   ,194, -   ,"2,909","4,016",78,
E02000376,Hammersmith and Fulham 005,14,482, -   , -   , -   ,"4,674","11,371",163, -   , -   ,275, -   , -   , -   , -   , -   ,"3,759",21,
E02000377,Hammersmith and Fulham 006,18,602, -   , -   , -   ,"3,876","6,160", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,526",15,
E02000378,Hammersmith and Fulham 007,6,216, -   , -   , -   ,"5,016","7,046",327, -   , -   ,549, -   , -   , -   , -   , -   ,"3,527",17,
E02000379,Hammersmith and Fulham 008,159,"5,141", -   , -   , -   ,"3,800",940, -   , -   , -   ,275, -   , -   , -   , -   , -   ,"3,416",14,
E02000380,Hammersmith and Fulham 009,5,183, -   , -   , -   ,"5,472","6,357", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,380",15,
E02000381,Hammersmith and Fulham 010,53,"1,804", -   , -   , -   ,"8,866","11,750",163, -   , -   , -   , -   , -   , -   , -   , -   ,"3,956",27,
E02000382,Hammersmith and Fulham 011,11,391, -   , -   , -   ,"8,005","7,096", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"9,631",25,
E02000383,Hammersmith and Fulham 012,39,"1,323", -   , -   , -   ,"9,728","12,050", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,675",28,
E02000384,Hammersmith and Fulham 013,66,"2,204", -   , -   , -   ,"9,626","16,299",327, -   , -   ,"2,037", -   , -   , -   , -   , -   ,"4,483",35,
E02000385,Hammersmith and Fulham 014,102,"3,498", -   , -   , -   ,"5,510","12,050", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,415",25,
E02000386,Hammersmith and Fulham 015,56,"1,901", -   , -   , -   ,"9,272","6,948", -   , -   , -   ,412, -   , -   , -   , -   , -   ,"4,512",23,
E02000387,Hammersmith and Fulham 016,97,"3,333", -   , -   , -   ,"8,107","12,050",327, -   , -   , -   , -   , -   , -   , -   , -   ,"6,368",30,
E02000388,Hammersmith and Fulham 017,65,"2,218", -   , -   , -   ,"7,600","13,873", -   , -   , -   ,549, -   , -   , -   , -   , -   ,"4,276",29,
E02000389,Hammersmith and Fulham 018,38,"1,299","139,510", -   , -   ,"9,880","11,371",163, -   , -   ,275, -   , -   , -   , -   ,"7,337","4,558",174,
E02000390,Hammersmith and Fulham 019,2,83, -   , -   , -   ,"8,866","7,046", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,431",19,
E02000391,Hammersmith and Fulham 020,143,"4,887", -   , -   , -   ,"5,510","17,512", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"3,940",32,
E02000392,Hammersmith and Fulham 021,17,584, -   , -   , -   ,"5,472","16,375",163, -   , -   ,137, -   , -   , -   , -   , -   ,"4,984",28,
E02000393,Hammersmith and Fulham 022,5,155, -   , -   , -   ,965,"12,812", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,14,
E02000394,Hammersmith and Fulham 023,128,"4,386","121,527", -   , -   ,"20,118","12,888", -   , -   , -   ,137, -   , -   , -   , -   ,"7,462","3,745",170,
E02000395,Hammersmith and Fulham 024,489,"13,494", -   , -   , -   ,"7,803","15,920",163, -   , -   , -   , -   , -   , -   , -   , -   ,"2,945",41,
E02000396,Hammersmith and Fulham 025,209,"7,171", -   , -   , -   ,"4,560","14,176", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,688",30,
E02000397,Haringey 001,41,965, -   , -   , -   ,"4,066","4,928", -   , -   , -   ,137, -   , -   , -   , -   , -   , -   ,10,
E02000398,Haringey 002,425,"14,567", -   , -   , -   ,494,"6,214", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,724",25,
E02000399,Haringey 003,28,972, -   , -   , -   ,399,"1,410",163, -   , -   ,137, -   , -   , -   , -   , -   , -   ,3,
E02000400,Haringey 004,657,"21,659", -   , -   , -   ,544,"6,751", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30,
E02000401,Haringey 005,151,"2,748", -   , -   , -   ,544,"6,214", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"31,798",42,
E02000402,Haringey 006,266,"6,676", -   , -   , -   ,544,"6,504",163, -   , -   , -   , -   , -   , -   , -   , -   ,"3,581",18,
E02000403,Haringey 007,383,"10,574", -   , -   , -   ,589,"5,667",327, -   , -   , -   , -   , -   , -   , -   , -   , -   ,18,
E02000404,Haringey 008,69,"2,125", -   , -   , -   ,544,"5,273", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8,
E02000405,Haringey 009,"1,187","38,885", -   , -   , -   ,544,"5,667",327, -   , -   , -   , -   , -   , -   , -   , -   , -   ,47,
E02000406,Haringey 010,29,998, -   , -   , -   ,544,"5,174", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7,
E02000407,Haringey 011,31,"1,062", -   , -   , -   ,519,"5,420", -   , -   , -   ,"1,625", -   , -   , -   , -   , -   , -   ,9,
E02000408,Haringey 012,42,"1,431", -   , -   , -   ,374,"1,334",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,
E02000409,Haringey 013,363,"12,078", -   , -   , -   ,412,"4,928", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,18,
E02000410,Haringey 014,35,1, -   , -   , -   ,544,"12,509", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,13,
E02000411,Haringey 015,543,"15,803", -   , -   , -   ,494,"6,214", -   , -   , -   , -   , -   , -   ,190, -   , -   ,"18,884",42,
E02000412,Haringey 016,55,"1,887", -   , -   , -   ,462,"12,736",327, -   , -   ,686, -   , -   , -   , -   , -   , -   ,16,
E02000413,Haringey 017,12,282, -   , -   , -   ,532,"11,523",327, -   , -   ,137, -   , -   , -   , -   , -   , -   ,13,
E02000414,Haringey 018,1,42, -   , -   , -   ,544,"1,274", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,
E02000415,Haringey 019,247,"8,186", -   , -   , -   ,"4,028","6,406",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,19,
E02000416,Haringey 020,1,24, -   , -   , -   ,481,"5,273", -   , -   , -   ,137, -   , -   , -   , -   , -   , -   ,6,
E02000417,Haringey 021,186,"5,135", -   , -   , -   ,"4,446","15,693",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,26,
E02000418,Haringey 022,44,"1,500", -   , -   , -   ,544,"6,652", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,
E02000419,Haringey 023,72,"2,466", -   , -   , -   ,526,"6,751", -   , -   , -   ,137, -   , -   ,186, -   , -   , -   ,10,
E02000420,Haringey 024,32,829, -   , -   , -   ,544,"5,962", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7,
E02000421,Haringey 025,55,"1,868", -   , -   , -   ,456,"6,603",327, -   , -   ,"2,174", -   , -   ,184, -   , -   ,"3,470",15,
E02000422,Haringey 026,70,"2,352", -   , -   , -   ,462,"5,815", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,
E02000423,Haringey 027,82,"2,823", -   , -   , -   ,544,"6,554", -   , -   , -   ,137, -   , -   , -   , -   , -   , -   ,10,
E02000424,Haringey 028,58,"1,983", -   , -   , -   ,621,"6,214", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,
E02000425,Haringey 029,144,"4,919", -   , -   , -   ,544,"1,349",163, -   , -   , -   , -   , -   , -   , -   , -   ,"3,753",11,
E02000426,Haringey 030,73,193, -   , -   , -   ,"3,990","6,406", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,11,
E02000427,Haringey 031,2,67, -   , -   , -   ,544,"11,523",163, -   , -   ,549, -   , -   , -   , -   , -   ,"6,816",20,
E02000428,Haringey 032,88,"2,871", -   , -   , -   ,544,"6,652", -   , -   , -   , -   , -   , -   ,184, -   , -   ,"7,132",17,
E02000429,Haringey 033,279,"7,715", -   , -   , -   ,544,"6,214", -   , -   , -   ,137, -   , -   , -   , -   , -   , -   ,15,
E02000430,Haringey 034,83,"2,662", -   , -   , -   ,431,"14,176",327, -   , -   ,137, -   , -   , -   , -   , -   ,"14,170",32,
E02000431,Haringey 035,77,"2,635", -   , -   , -   ,"5,282","5,223",327, -   , -   ,137, -   , -   ,194, -   , -   , -   ,14,
E02000432,Haringey 036,46,"1,509", -   , -   , -   ,544,"5,765", -   , -   , -   , -   , -   , -   ,191, -   , -   ,"3,206",11,
E02000433,Harrow 001,"1,653","56,596", -   , -   , -   ,"3,990","11,750", -   , -   , -   ,824, -   , -   , -   , -   , -   , -   ,75,
E02000434,Harrow 002,80,"2,728", -   , -   , -   ,668,"5,815", -   , -   , -   ,549, -   , -   , -   , -   , -   ,"17,720",28,
E02000435,Harrow 003,75,"1,850", -   , -   , -   ,668,"6,455", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9,
E02000436,Harrow 004,234,"7,938", -   , -   , -   ,668,"6,219", -   , -   , -   ,137, -   , -   , -   , -   , -   , -   ,15,
E02000437,Harrow 005,139,"4,753", -   , -   , -   ,668,"6,948", -   , -   , -   ,275, -   , -   , -   , -   , -   , -   ,13,
E02000438,Harrow 006,284,"9,712", -   , -   , -   ,"4,180","11,978", -   , -   , -   ,549, -   , -   , -   , -   , -   , -   ,27,
E02000439,Harrow 007,279,"8,962", -   , -   , -   ,"4,446","5,174", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"21,068",40,
E02000440,Harrow 008,240,"6,687", -   , -   , -   ,668,"1,486", -   , -   , -   ,275, -   , -   , -   , -   , -   , -   ,9,
E02000441,Harrow 009,"1,121","37,396", -   , -   , -   ,"3,876","6,219", -   , -   , -   ,"1,625", -   , -   , -   , -   , -   , -   ,50,
E02000442,Harrow 010,274,"9,374", -   , -   , -   ,668,"6,219", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"20,766",37,
E02000443,Harrow 011,27,580, -   , -   , -   ,614,"1,213", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,
E02000444,Harrow 012,259,"8,611", -   , -   , -   ,"5,472","6,110", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,566",25,
E02000445,Harrow 013,150,"5,103", -   , -   , -   ,507,"1,334", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7,
E02000446,Harrow 014,186,"6,379", -   , -   , -   ,668,"6,219", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"17,577",31,
E02000447,Harrow 015,"1,291","42,934", -   , -   , -   ,668,"6,219", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,51,
E02000448,Harrow 016,242,"8,273", -   , -   , -   ,"4,332","11,826", -   , -   , -   ,686, -   , -   , -   , -   , -   ,"27,381",53,
E02000449,Harrow 017,137,"4,332", -   , -   , -   ,668,"6,219", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"9,780",21,
E02000450,Harrow 018,267,"8,840", -   , -   , -   ,668,"1,501", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,323",16,
E02000451,Harrow 019,198,"4,930", -   , -   , -   ,583,"5,617", -   , -   , -   ,137, -   , -   , -   , -   , -   , -   ,11,
E02000452,Harrow 020,40,"1,377", -   , -   , -   ,"3,800","6,258", -   ,"4,832", -   ,"1,625", -   , -   , -   , -   , -   , -   ,18,
E02000453,Harrow 021,220,"7,539", -   , -   , -   ,"4,294","6,219", -   , -   , -   ,275, -   , -   , -   , -   , -   , -   ,19,
E02000454,Harrow 022,423,"14,058", -   , -   , -   ,668,"6,219", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"7,633",29,
E02000455,Harrow 023,185,"5,749", -   , -   , -   ,"4,560","16,223", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,27,
E02000456,Harrow 024,223,"4,188", -   , -   , -   ,"4,028","6,219", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,15,
E02000457,Harrow 025,186,"4,223", -   , -   , -   ,519,"5,026", -   , -   , -   ,137, -   , -   , -   , -   , -   , -   ,10,
E02000458,Harrow 026,122,"3,283", -   , -   , -   ,668,"6,219", -   , -   , -   ,137, -   , -   , -   , -   , -   , -   ,10,
E02000459,Harrow 027,155,"4,879", -   , -   , -   ,"4,028","12,660", -   , -   , -   ,275, -   , -   , -   , -   , -   , -   ,22,
E02000460,Harrow 028,200,"5,246", -   , -   , -   ,668,"5,716", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"33,658",46,
E02000461,Harrow 029,250,"8,446", -   , -   , -   ,608,"5,568", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,15,
E02000462,Harrow 030,337,"8,943", -   , -   , -   ,"4,104","5,815", -   , -   , -   ,"1,762", -   , -   , -   , -   , -   , -   ,21,
E02000463,Harrow 031,32,913, -   , -   , -   ,668,"6,219", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,999",13,
E02000464,Havering 001,"2,090","71,546", -   , -   , -   ,644,273, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,75,
E02000465,Havering 002,"2,024","69,233", -   , -   , -   ,644,"1,377", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"22,046",95,
E02000466,Havering 003,"1,747","58,963", -   , -   , -   ,644,773, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,62,
E02000467,Havering 004,318,"10,885", -   , -   , -   ,513,"1,425",163, -   , -   ,412, -   , -   , -   , -   , -   , -   ,14,
E02000468,Havering 005,"1,424","46,584", -   , -   , -   ,557,"1,289", -   , -   , -   ,275, -   , -   , -   , -   , -   , -   ,50,
E02000469,Havering 006,895,"29,577", -   , -   , -   ,"5,358","1,349", -   , -   , -   ,"1,625", -   , -   , -   , -   , -   , -   ,39,
E02000470,Havering 007,"2,083","71,110", -   , -   , -   ,545,"13,267", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,524",92,
E02000471,Havering 008,819,"28,049", -   , -   , -   ,644,"1,501", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31,
E02000472,Havering 009,146,"4,850", -   , -   , -   ,"3,800","1,076", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"9,394",19,
E02000473,Havering 010,370,"12,375", -   , -   , -   ,"3,838","1,349",163, -   , -   ,137, -   , -   , -   , -   , -   ,"5,412",24,
E02000474,Havering 011,429,"11,919", -   , -   , -   ,644,"1,380", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"20,047",34,
E02000475,Havering 012,"1,330","45,500", -   , -   , -   ,"3,876","1,395", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,52,
E02000476,Havering 013,112,"3,819", -   , -   , -   ,"4,028","6,948",327, -   , -   ,"2,448", -   , -   , -   , -   , -   ,"4,496",22,
E02000477,Havering 014,168,"4,363", -   , -   , -   ,"4,370","1,213", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"10,243",20,
E02000478,Havering 015,172,"5,894", -   , -   , -   ,644,"1,377", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,218",11,
E02000479,Havering 016,118,"3,419", -   , -   , -   ,"4,104","12,357", -   , -   , -   ,"1,625", -   , -   , -   , -   , -   ,"4,557",26,
E02000480,Havering 017,"1,403","46,129", -   , -   , -   ,644,"5,075", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"5,592",59,
E02000481,Havering 018,"3,517","114,783", -   , -   , -   ,644,925,163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,598",125,
E02000482,Havering 019,55,"1,891", -   , -   , -   ,602,"1,228", -   , -   , -   ,412, -   , -   , -   , -   , -   ,"3,699",8,
E02000483,Havering 020,239,"6,628", -   , -   , -   ,614,"6,061",163, -   , -   ,137, -   , -   , -   , -   , -   ,"4,343",18,
E02000484,Havering 021,718,"24,137", -   , -   , -   ,644,"1,076", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,780",31,
E02000485,Havering 022,503,"15,731", -   , -   , -   ,"3,876","1,304",163, -   , -   , -   , -   , -   , -   , -   , -   ,"4,476",26,
E02000486,Havering 023,83,"2,850", -   , -   , -   ,488,"1,137", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,269",9,
E02000487,Havering 024,"4,002","136,668", -   , -   , -   ,"4,560",758,163, -   ,713, -   , -   , -   , -   , -   , -   ,"4,684",152,
E02000488,Havering 025,588,"20,126", -   , -   , -   ,644,"1,377", -   , -   , -   ,"1,625", -   , -   , -   , -   , -   ,"4,458",29,
E02000489,Havering 026,"2,132","71,012", -   , -   , -   ,"5,510","1,471", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,415",85,
E02000490,Havering 027,"1,011","34,282", -   , -   , -   ,644,"1,061", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,399",41,
E02000491,Havering 028,"2,364","80,925", -   , -   , -   ,412,864, -   , -   , -   ,"1,625", -   ,"475,120", -   , -   , -   ,"8,482",570,
E02000492,Havering 029,"3,241","110,984", -   , -   , -   ,644,"1,377", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"3,593",120,
E02000493,Havering 030,414,"13,390", -   , -   , -   ,644,"6,504", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,21,
E02000494,Hillingdon 001,"1,813","62,061", -   , -   , -   ,827,"6,580",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,71,
E02000495,Hillingdon 002,"1,232","40,136", -   , -   , -   ,"4,256","5,519",490, -   , -   ,686, -   , -   , -   , -   , -   , -   ,52,
E02000496,Hillingdon 003,310,"6,363", -   , -   , -   ,"5,282","4,928", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,311",21,
E02000497,Hillingdon 004,708,"23,182", -   , -   , -   ,827,"1,092",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,26,
E02000498,Hillingdon 005,"1,198","40,646", -   , -   , -   ,"4,864","6,580", -   , -   ,713, -   , -   , -   , -   , -   , -   ,"17,401",71,
E02000499,Hillingdon 006,216,"7,112", -   , -   , -   ,827,"6,307", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,310",19,
E02000500,Hillingdon 007,613,"20,794", -   , -   , -   ,"4,484","7,096",654, -   , -   ,549, -   , -   , -   , -   , -   , -   ,34,
E02000501,Hillingdon 008,246,"7,216", -   , -   , -   ,"3,876","5,716", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,632",22,
E02000502,Hillingdon 009,821,"26,902", -   , -   , -   ,827,"6,580",163, -   , -   ,137, -   , -   , -   , -   , -   ,"4,213",40,
E02000503,Hillingdon 010,333,"11,397", -   , -   , -   ,827,"15,010", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,869",32,
E02000504,Hillingdon 011,742,"24,786", -   , -   , -   ,"4,522","6,580",163, -   , -   , -   , -   , -   , -   , -   , -   ,"8,261",45,
E02000505,Hillingdon 012,718,"24,125", -   , -   , -   ,827,"15,844",327, -   , -   ,275, -   , -   , -   , -   , -   ,"10,247",52,
E02000506,Hillingdon 013,"2,333","79,874", -   , -   , -   ,"5,548","15,086", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,103,
E02000507,Hillingdon 014,"2,016","68,035", -   , -   , -   ,827,"6,580", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,501",82,
E02000508,Hillingdon 015,978,"32,212", -   , -   , -   ,"5,168","13,494",327, -   , -   ,137, -   , -   , -   , -   , -   , -   ,52,
E02000509,Hillingdon 016,407,"13,628", -   , -   , -   ,"5,434","11,978",163, -   , -   ,275, -   , -   , -   , -   , -   ,"4,753",37,
E02000510,Hillingdon 017,785,"26,674", -   , -   , -   ,"4,142","1,425", -   ,"7,790", -   , -   , -   , -   , -   , -   , -   , -   ,41,
E02000511,Hillingdon 018,"1,096","35,207", -   , -   , -   ,"5,168","4,977", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"9,833",56,
E02000512,Hillingdon 019,161,"5,502", -   , -   , -   ,"4,484","6,580", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,17,
E02000513,Hillingdon 020,594,"19,385", -   , -   , -   ,827,"12,281", -   , -   , -   ,"1,625", -   , -   , -   , -   , -   ,"5,066",40,
E02000514,Hillingdon 021,300,"9,991", -   , -   , -   ,827,"5,371", -   , -   , -   ,"1,098", -   , -   , -   , -   , -   ,"5,814",23,
E02000515,Hillingdon 022,"1,231","41,712", -   , -   , -   ,"4,370","5,716",163, -   ,"1,272",137,"1,276", -   , -   , -   , -   ,"19,279",75,
E02000516,Hillingdon 023,849,"29,076", -   , -   , -   ,827,"12,963", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,903",49,
E02000517,Hillingdon 024,723,"22,231", -   , -   , -   ,405,"1,486",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,25,
E02000518,Hillingdon 025,"1,390","47,600", -   , -   , -   ,827,"6,580", -   , -   , -   ,275, -   , -   , -   , -   , -   , -   ,57,
E02000519,Hillingdon 026,440,"14,283", -   , -   , -   ,827,"13,873", -   , -   , -   ,137,"47,693", -   , -   , -   , -   ,"12,086",89,
E02000520,Hillingdon 027,"2,557","87,307", -   , -   , -   ,"8,259","1,365",163, -   ,455, -   , -   , -   , -   , -   , -   ,"19,246",119,
E02000521,Hillingdon 028,"1,086","35,626", -   , -   , -   ,827,"6,580",327, -   , -   , -   , -   , -   , -   , -   , -   , -   ,44,
E02000522,Hillingdon 029,545,"18,171", -   , -   , -   ,"5,244","1,486", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,703",30,
E02000523,Hillingdon 030,290,"9,894", -   , -   , -   ,"4,104","1,243", -   ,"2,056", -   ,137, -   , -   , -   , -   , -   ,"5,243",23,
E02000524,Hillingdon 031,"5,078","173,417", -   , -   ,"10,502","22,788","12,660",163, -   , -   ,137, -   , -   , -   , -   , -   ,"8,359",233,
E02000525,Hillingdon 032,"2,047","68,816", -   , -   , -   ,"5,624","5,913", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,858",87,
E02000526,Hounslow 001,12,417, -   , -   , -   ,"8,157","15,389",163, -   , -   ,137, -   , -   , -   , -   , -   ,"4,314",29,
E02000527,Hounslow 002,80,"2,632", -   , -   , -   ,"9,221","18,573", -   , -   , -   ,549, -   , -   , -   , -   , -   ,"3,955",35,
E02000528,Hounslow 003,"1,306","44,717", -   ,"42,935", -   ,"5,320","5,125",163, -   , -   , -   , -   , -   , -   , -   , -   ,"5,049",105,
E02000529,Hounslow 004,294,"7,618", -   , -   , -   ,"4,788","5,519", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,18,
E02000530,Hounslow 005,"1,192","40,803", -   , -   , -   ,858,"15,162",163, -   , -   ,"1,625", -   , -   , -   , -   , -   ,"3,737",64,
E02000531,Hounslow 006,"1,238","40,241", -   , -   ,"5,811","5,548","5,519", -   , -   , -   ,275, -   , -   , -   , -   , -   ,"5,059",64,
E02000532,Hounslow 007,609,"14,901","25,848", -   , -   ,"7,904","1,349",327, -   , -   , -   , -   , -   , -   , -   ,"2,114","4,739",58,
E02000533,Hounslow 008,268,"8,914", -   , -   , -   ,"9,525","5,667", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,346",29,
E02000534,Hounslow 009,15,305, -   , -   , -   ,"5,586","6,348",163, -   , -   ,"1,625", -   , -   , -   , -   , -   ,"4,028",18,
E02000535,Hounslow 010,106,"3,637", -   , -   , -   ,858,"1,440", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"10,057",16,
E02000536,Hounslow 011,541,"17,334", -   , -   , -   ,858,"5,667",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,25,
E02000537,Hounslow 012,465,"15,623", -   , -   , -   ,"5,396","6,110", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,28,
E02000538,Hounslow 013,"1,030","33,711", -   , -   , -   ,"4,370","6,348", -   , -   , -   ,137, -   , -   , -   , -   , -   ,"4,645",50,
