Middle Super Output Area,MSOA name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh ,
E02000229,Croydon 036,299,"10,033", -   , -   , -   ,532,"1,334", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12,
E02000230,Croydon 037,261,"6,455", -   , -   , -   ,"4,104","7,293",163, -   , -   ,"1,625", -   , -   , -   , -   , -   ,"12,445",32,
E02000231,Croydon 038,53,"1,819", -   , -   , -   ,532,"1,413",327, -   , -   ,275, -   , -   , -   , -   , -   ,"7,877",12,
E02000232,Croydon 039,"1,787","61,175", -   , -   , -   ,532,"1,413",163, -   , -   ,275, -   , -   , -   , -   , -   , -   ,65,
E02000233,Croydon 040,133,"4,561", -   , -   , -   ,"4,256",804, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10,
E02000234,Croydon 041,956,"31,131", -   , -   , -   ,"4,066","1,167", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,275",42,
E02000235,Croydon 042,"2,014","67,716", -   , -   , -   ,532,"1,413", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,72,
E02000236,Croydon 043,900,"30,349", -   , -   , -   ,513,925, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,144",37,
E02000237,Croydon 044,911,"31,182", -   , -   , -   ,570,"1,413", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,142",38,
E02000238,Ealing 001,342,"11,700", -   , -   , -   ,728,"6,608",327, -   , -   ,275, -   , -   , -   , -   , -   , -   ,20,
E02000239,Ealing 002,"2,059","69,248", -   , -   , -   ,418,"1,395", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,73,
E02000240,Ealing 003,820,"28,073", -   , -   , -   ,"4,826","6,608", -   , -   , -   ,275, -   , -   , -   , -   , -   , -   ,41,
E02000241,Ealing 004,335,"9,791", -   , -   , -   ,728,"6,160", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,481",20,
E02000242,Ealing 005,43,781, -   , -   , -   ,595,"7,244", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,516",12,
E02000243,Ealing 006,"1,375","46,549", -   , -   , -   ,"7,600","5,273", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,362",65,
E02000244,Ealing 007,802,"27,450", -   , -   , -   ,728,"12,660", -   , -   , -   ,"1,625", -   , -   , -   , -   , -   ,"7,185",50,
E02000245,Ealing 008,"1,330","45,503", -   , -   , -   ,728,"6,608", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,54,
E02000246,Ealing 009,"1,336","45,213", -   , -   , -   ,"4,674","6,751", -   , -   , -   ,412, -   , -   , -   , -   , -   ,"4,614",63,
E02000247,Ealing 010,552,"18,892", -   , -   , -   ,627,"5,174",163, -   , -   , -   , -   , -   , -   , -   , -   ,"9,718",35,
E02000248,Ealing 011,402,"12,745", -   , -   , -   ,"4,598","6,608", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,24,
E02000249,Ealing 012,281,"7,265", -   , -   , -   ,589,"6,258", -   , -   , -   ,824, -   , -   , -   , -   , -   ,"13,327",29,
E02000250,Ealing 013,341,"10,109", -   , -   , -   ,728,"6,608", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,18,
E02000251,Ealing 014,227,"7,355", -   , -   , -   ,728,"6,608",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,15,
E02000252,Ealing 015,184,"6,106", -   , -   , -   ,621,"6,608",327, -   ,636,"1,762","25,204", -   , -   ,"58,798", -   ,"4,854",105,
E02000253,Ealing 016,373,"12,005", -   , -   , -   ,728,"6,608",163, -   , -   ,275, -   , -   , -   , -   , -   ,"5,337",25,
E02000254,Ealing 017,365,"12,187", -   , -   , -   ,728,"6,061", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,19,
E02000255,Ealing 018,722,"22,818", -   , -   , -   ,"4,712","6,608",163, -   , -   ,275, -   , -   , -   , -   , -   ,"5,075",40,
E02000256,Ealing 019,38,"1,313", -   , -   , -   ,"8,765","6,357",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,17,
E02000257,Ealing 020,340,"11,651", -   , -   , -   ,"5,396","19,104",163, -   , -   ,961, -   , -   , -   , -   , -   , -   ,38,
E02000258,Ealing 021,277,"8,246", -   , -   , -   ,728,"6,608", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,16,
E02000259,Ealing 022,902,"29,603", -   , -   , -   ,728,"6,608", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,291",41,
E02000260,Ealing 023,218,"6,315", -   , -   , -   ,589,"17,360",490, -   , -   ,275, -   , -   , -   , -   , -   , -   ,25,
E02000261,Ealing 024,483,"15,248", -   , -   , -   ,"3,800","1,380",163, -   , -   ,275, -   , -   , -   , -   , -   ,"5,380",27,
E02000262,Ealing 025,57,"1,952", -   , -   , -   ,"4,066","5,026",327, -   , -   ,"2,174", -   , -   , -   , -   , -   , -   ,14,
E02000263,Ealing 026,476,"15,926", -   , -   , -   ,"4,294","12,888",163, -   , -   , -   , -   , -   , -   , -   , -   , -   ,34,
E02000264,Ealing 027,445,"15,011", -   , -   , -   ,"4,408","6,061",327, -   , -   ,137, -   , -   , -   , -   , -   , -   ,26,
E02000265,Ealing 028,56,390, -   , -   , -   ,"4,484","6,258",327, -   , -   ,275, -   , -   , -   , -   , -   , -   ,12,
E02000266,Ealing 029,618,"19,627", -   , -   , -   ,"3,952","1,380",163, -   , -   , -   , -   , -   , -   , -   , -   ,"15,064",41,
E02000267,Ealing 030,27,88, -   , -   , -   ,507,"5,765",327, -   , -   ,549, -   , -   , -   , -   , -   ,"3,615",11,
